,k=10_Average-based_0,k=10_Average-based_1,k=10_Average-based_2,k=10_Average-based_3,k=10_Average-based_4,k=10_Average-based_5,k=10_Average-based_6,k=10_Average-based_7,k=10_Average-based_8,k=10_Average-based_9,k=10_Onehot-based_0,k=10_Onehot-based_1,k=10_Onehot-based_2,k=10_Onehot-based_3,k=10_Onehot-based_4,k=10_Onehot-based_5,k=10_Onehot-based_6,k=10_Onehot-based_7,k=10_Onehot-based_8,k=10_Onehot-based_9,k=10_wNMF-based_0,k=10_wNMF-based_1,k=10_wNMF-based_2,k=10_wNMF-based_3,k=10_wNMF-based_4,k=10_wNMF-based_5,k=10_wNMF-based_6,k=10_wNMF-based_7,k=10_wNMF-based_8,k=10_wNMF-based_9,k=11_Average-based_0,k=11_Average-based_1,k=11_Average-based_2,k=11_Average-based_3,k=11_Average-based_4,k=11_Average-based_5,k=11_Average-based_6,k=11_Average-based_7,k=11_Average-based_8,k=11_Average-based_9,k=11_Onehot-based_0,k=11_Onehot-based_1,k=11_Onehot-based_2,k=11_Onehot-based_3,k=11_Onehot-based_4,k=11_Onehot-based_5,k=11_Onehot-based_6,k=11_Onehot-based_7,k=11_Onehot-based_8,k=11_Onehot-based_9,k=11_wNMF-based_0,k=11_wNMF-based_1,k=11_wNMF-based_2,k=11_wNMF-based_3,k=11_wNMF-based_4,k=11_wNMF-based_5,k=11_wNMF-based_6,k=11_wNMF-based_7,k=11_wNMF-based_8,k=11_wNMF-based_9,k=12_Average-based_0,k=12_Average-based_1,k=12_Average-based_2,k=12_Average-based_3,k=12_Average-based_4,k=12_Average-based_5,k=12_Average-based_6,k=12_Average-based_7,k=12_Average-based_8,k=12_Average-based_9,k=12_Onehot-based_0,k=12_Onehot-based_1,k=12_Onehot-based_2,k=12_Onehot-based_3,k=12_Onehot-based_4,k=12_Onehot-based_5,k=12_Onehot-based_6,k=12_Onehot-based_7,k=12_Onehot-based_8,k=12_Onehot-based_9,k=12_wNMF-based_0,k=12_wNMF-based_1,k=12_wNMF-based_2,k=12_wNMF-based_3,k=12_wNMF-based_4,k=12_wNMF-based_5,k=12_wNMF-based_6,k=12_wNMF-based_7,k=12_wNMF-based_8,k=12_wNMF-based_9,k=13_Average-based_0,k=13_Average-based_1,k=13_Average-based_2,k=13_Average-based_3,k=13_Average-based_4,k=13_Average-based_5,k=13_Average-based_6,k=13_Average-based_7,k=13_Average-based_8,k=13_Average-based_9,k=13_Onehot-based_0,k=13_Onehot-based_1,k=13_Onehot-based_2,k=13_Onehot-based_3,k=13_Onehot-based_4,k=13_Onehot-based_5,k=13_Onehot-based_6,k=13_Onehot-based_7,k=13_Onehot-based_8,k=13_Onehot-based_9,k=13_wNMF-based_0,k=13_wNMF-based_1,k=13_wNMF-based_2,k=13_wNMF-based_3,k=13_wNMF-based_4,k=13_wNMF-based_5,k=13_wNMF-based_6,k=13_wNMF-based_7,k=13_wNMF-based_8,k=13_wNMF-based_9,k=14_Average-based_0,k=14_Average-based_1,k=14_Average-based_2,k=14_Average-based_3,k=14_Average-based_4,k=14_Average-based_5,k=14_Average-based_6,k=14_Average-based_7,k=14_Average-based_8,k=14_Average-based_9,k=14_Onehot-based_0,k=14_Onehot-based_1,k=14_Onehot-based_2,k=14_Onehot-based_3,k=14_Onehot-based_4,k=14_Onehot-based_5,k=14_Onehot-based_6,k=14_Onehot-based_7,k=14_Onehot-based_8,k=14_Onehot-based_9,k=14_wNMF-based_0,k=14_wNMF-based_1,k=14_wNMF-based_2,k=14_wNMF-based_3,k=14_wNMF-based_4,k=14_wNMF-based_5,k=14_wNMF-based_6,k=14_wNMF-based_7,k=14_wNMF-based_8,k=14_wNMF-based_9,k=15_Average-based_0,k=15_Average-based_1,k=15_Average-based_2,k=15_Average-based_3,k=15_Average-based_4,k=15_Average-based_5,k=15_Average-based_6,k=15_Average-based_7,k=15_Average-based_8,k=15_Average-based_9,k=15_Onehot-based_0,k=15_Onehot-based_1,k=15_Onehot-based_2,k=15_Onehot-based_3,k=15_Onehot-based_4,k=15_Onehot-based_5,k=15_Onehot-based_6,k=15_Onehot-based_7,k=15_Onehot-based_8,k=15_Onehot-based_9,k=15_wNMF-based_0,k=15_wNMF-based_1,k=15_wNMF-based_2,k=15_wNMF-based_3,k=15_wNMF-based_4,k=15_wNMF-based_5,k=15_wNMF-based_6,k=15_wNMF-based_7,k=15_wNMF-based_8,k=15_wNMF-based_9,k=16_Average-based_0,k=16_Average-based_1,k=16_Average-based_2,k=16_Average-based_3,k=16_Average-based_4,k=16_Average-based_5,k=16_Average-based_6,k=16_Average-based_7,k=16_Average-based_8,k=16_Average-based_9,k=16_Onehot-based_0,k=16_Onehot-based_1,k=16_Onehot-based_2,k=16_Onehot-based_3,k=16_Onehot-based_4,k=16_Onehot-based_5,k=16_Onehot-based_6,k=16_Onehot-based_7,k=16_Onehot-based_8,k=16_Onehot-based_9,k=16_wNMF-based_0,k=16_wNMF-based_1,k=16_wNMF-based_2,k=16_wNMF-based_3,k=16_wNMF-based_4,k=16_wNMF-based_5,k=16_wNMF-based_6,k=16_wNMF-based_7,k=16_wNMF-based_8,k=16_wNMF-based_9,k=17_Average-based_0,k=17_Average-based_1,k=17_Average-based_2,k=17_Average-based_3,k=17_Average-based_4,k=17_Average-based_5,k=17_Average-based_6,k=17_Average-based_7,k=17_Average-based_8,k=17_Average-based_9,k=17_Onehot-based_0,k=17_Onehot-based_1,k=17_Onehot-based_2,k=17_Onehot-based_3,k=17_Onehot-based_4,k=17_Onehot-based_5,k=17_Onehot-based_6,k=17_Onehot-based_7,k=17_Onehot-based_8,k=17_Onehot-based_9,k=17_wNMF-based_0,k=17_wNMF-based_1,k=17_wNMF-based_2,k=17_wNMF-based_3,k=17_wNMF-based_4,k=17_wNMF-based_5,k=17_wNMF-based_6,k=17_wNMF-based_7,k=17_wNMF-based_8,k=17_wNMF-based_9,k=18_Average-based_0,k=18_Average-based_1,k=18_Average-based_2,k=18_Average-based_3,k=18_Average-based_4,k=18_Average-based_5,k=18_Average-based_6,k=18_Average-based_7,k=18_Average-based_8,k=18_Average-based_9,k=18_Onehot-based_0,k=18_Onehot-based_1,k=18_Onehot-based_2,k=18_Onehot-based_3,k=18_Onehot-based_4,k=18_Onehot-based_5,k=18_Onehot-based_6,k=18_Onehot-based_7,k=18_Onehot-based_8,k=18_Onehot-based_9,k=18_wNMF-based_0,k=18_wNMF-based_1,k=18_wNMF-based_2,k=18_wNMF-based_3,k=18_wNMF-based_4,k=18_wNMF-based_5,k=18_wNMF-based_6,k=18_wNMF-based_7,k=18_wNMF-based_8,k=18_wNMF-based_9,k=19_Average-based_0,k=19_Average-based_1,k=19_Average-based_2,k=19_Average-based_3,k=19_Average-based_4,k=19_Average-based_5,k=19_Average-based_6,k=19_Average-based_7,k=19_Average-based_8,k=19_Average-based_9,k=19_Onehot-based_0,k=19_Onehot-based_1,k=19_Onehot-based_2,k=19_Onehot-based_3,k=19_Onehot-based_4,k=19_Onehot-based_5,k=19_Onehot-based_6,k=19_Onehot-based_7,k=19_Onehot-based_8,k=19_Onehot-based_9,k=19_wNMF-based_0,k=19_wNMF-based_1,k=19_wNMF-based_2,k=19_wNMF-based_3,k=19_wNMF-based_4,k=19_wNMF-based_5,k=19_wNMF-based_6,k=19_wNMF-based_7,k=19_wNMF-based_8,k=19_wNMF-based_9,k=20_Average-based_0,k=20_Average-based_1,k=20_Average-based_2,k=20_Average-based_3,k=20_Average-based_4,k=20_Average-based_5,k=20_Average-based_6,k=20_Average-based_7,k=20_Average-based_8,k=20_Average-based_9,k=20_Onehot-based_0,k=20_Onehot-based_1,k=20_Onehot-based_2,k=20_Onehot-based_3,k=20_Onehot-based_4,k=20_Onehot-based_5,k=20_Onehot-based_6,k=20_Onehot-based_7,k=20_Onehot-based_8,k=20_Onehot-based_9,k=20_wNMF-based_0,k=20_wNMF-based_1,k=20_wNMF-based_2,k=20_wNMF-based_3,k=20_wNMF-based_4,k=20_wNMF-based_5,k=20_wNMF-based_6,k=20_wNMF-based_7,k=20_wNMF-based_8,k=20_wNMF-based_9
575,1,9,1,8,9,7,4,0,7,5,0,1,3,5,1,8,1,9,2,6,0,6,3,2,7,0,1,6,7,0,0,8,9,9,1,8,7,8,9,10,1,5,2,6,7,1,10,7,6,0,5,1,0,5,10,5,2,5,1,5,11,9,1,6,8,1,9,11,11,6,2,1,1,4,0,3,7,4,1,2,1,2,3,4,4,1,4,1,6,3,9,1,12,1,6,11,0,2,10,2,1,11,1,1,7,0,1,9,4,11,0,2,5,9,9,9,2,11,2,2,7,7,1,10,7,1,6,13,13,6,6,2,3,4,4,8,3,13,1,4,4,1,0,6,6,3,0,6,4,6,9,5,14,0,12,5,1,12,14,3,1,2,13,13,3,7,14,1,8,4,12,14,8,7,9,5,0,5,3,9,8,2,2,11,1,7,9,5,6,13,2,15,6,12,1,3,9,12,4,15,14,15,5,9,12,6,10,5,0,12,6,6,0,14,16,16,16,6,1,4,10,1,4,16,2,14,0,6,6,15,6,1,4,9,1,11,12,9,5,11,14,17,16,7,1,11,0,16,16,1,1,1,10,4,15,2,3,15,13,15,2,3,10,8,9,0,8,16,8,4,0,0,16,0,4,17,10,17,16,12,2,8,17,16,15,13,12,2,4,18,5,3,6,6,1,2,2,6,15,2,9,7,7,5,19,12,5,12,1,3,13,15,2,0,0,1,1,10,15,11,17,15,12,3,8,10,4,5,2,1
576,6,6,8,9,0,3,9,4,6,7,6,5,7,6,0,3,5,8,0,3,4,7,4,4,0,7,3,9,9,8,9,5,5,2,5,1,0,6,7,7,7,7,3,7,9,5,8,1,8,4,3,3,6,10,8,10,7,4,0,0,6,0,5,9,11,10,0,2,0,9,11,5,2,1,11,10,5,11,2,6,3,5,0,2,5,6,8,4,1,9,6,0,7,2,5,8,9,9,2,4,9,0,2,6,10,9,8,1,8,1,7,5,0,10,7,10,1,9,12,8,1,9,10,6,9,9,7,5,12,8,11,6,3,4,6,5,3,6,13,4,7,9,10,10,8,10,8,11,2,5,8,6,11,9,0,8,9,7,5,11,12,0,2,9,3,7,14,5,8,4,3,6,10,4,11,3,8,2,12,10,0,13,14,12,0,11,7,8,8,12,12,0,13,9,14,9,11,7,10,4,10,1,3,6,0,14,7,2,12,4,11,7,13,16,10,1,15,12,14,0,13,3,2,8,1,3,8,15,12,3,16,0,0,1,12,8,14,15,12,14,7,5,7,8,7,7,15,5,17,10,4,7,9,7,11,16,12,16,12,3,16,0,15,6,16,17,17,8,13,12,15,14,10,11,16,8,11,4,5,11,5,1,8,9,3,7,6,9,6,6,12,11,17,15,8,15,17,1,16,15,8,9,9,11,11,11,7,13,7,6,18,11,18,10,1,7,12,19,0,12,12,9,14,11,2,0,15,11,15,0
577,6,6,8,9,0,3,9,4,6,7,6,5,7,6,0,3,5,8,0,3,1,2,6,0,1,1,2,5,0,9,9,5,5,2,5,1,0,6,7,7,7,7,3,7,9,5,8,1,8,4,4,9,9,0,2,1,10,3,8,10,6,0,5,9,11,10,0,2,0,9,11,5,2,1,11,10,5,11,2,6,0,1,7,10,6,0,6,9,11,0,6,0,7,2,5,8,9,9,2,4,9,0,2,6,10,9,8,1,8,1,11,11,9,7,8,11,6,5,8,11,1,9,10,6,9,9,7,5,12,8,11,6,3,4,6,5,3,6,13,4,6,0,3,11,7,8,2,9,0,1,8,6,11,9,0,8,9,7,5,11,12,0,2,9,3,7,14,5,8,4,5,4,5,9,2,10,1,11,14,3,0,13,14,12,0,11,7,8,8,12,12,0,13,9,14,9,11,7,10,4,4,14,2,3,11,15,8,3,13,10,11,7,13,16,10,1,15,12,14,0,13,3,2,8,1,3,8,15,12,3,2,9,7,1,12,13,0,8,6,12,7,5,7,8,7,7,15,5,17,10,4,7,9,7,11,16,12,16,12,3,12,1,2,4,12,1,1,8,0,5,15,14,10,11,16,8,11,4,5,11,5,1,8,9,3,7,6,9,6,6,18,17,0,3,2,16,0,15,14,14,8,9,9,11,11,11,7,13,7,6,18,11,18,10,1,7,12,19,0,12,14,11,15,14,19,3,5,17,0,15
578,6,6,8,9,0,3,9,4,6,7,6,5,7,6,0,3,5,8,0,3,1,2,5,6,6,9,5,5,0,9,9,5,5,2,5,1,0,6,7,7,7,7,3,7,9,5,8,1,8,4,4,9,9,0,2,1,10,3,8,10,6,0,5,9,11,10,0,2,0,9,11,5,2,1,11,10,5,11,2,6,6,8,7,10,6,7,6,9,9,0,6,0,7,2,5,8,9,9,2,4,9,0,2,6,10,9,8,1,8,1,11,11,9,2,0,11,6,5,8,1,1,9,10,6,9,9,7,5,12,8,11,6,3,4,6,5,3,6,13,4,6,7,3,11,7,8,2,9,0,10,8,6,11,9,0,8,9,7,5,11,12,0,2,9,3,7,14,5,8,4,5,4,0,9,0,10,3,11,14,7,1,0,1,1,14,8,13,11,8,9,0,5,13,12,0,7,11,7,9,4,7,12,9,8,5,4,9,13,1,14,12,7,13,2,10,1,15,12,14,3,13,3,2,8,12,8,8,10,6,3,7,5,16,14,16,6,8,10,11,16,4,12,2,15,17,1,13,1,1,8,4,7,0,15,16,17,4,1,9,3,1,10,0,15,8,9,3,2,1,3,11,5,13,10,14,5,11,6,3,8,15,1,8,9,3,7,12,9,6,6,16,5,15,0,16,4,7,14,2,1,12,12,3,1,8,14,12,6,11,19,6,9,4,7,1,17,13,5,19,4,11,12,8,2,6,13,0,8,5,18
579,6,6,8,9,0,3,9,4,6,7,6,5,7,6,0,3,5,8,0,3,1,2,5,0,1,1,2,5,0,9,9,5,5,2,5,1,0,6,7,7,7,7,3,7,9,5,8,1,8,4,7,9,2,0,7,9,10,10,9,6,6,0,5,9,11,10,0,2,0,9,11,5,2,1,11,10,5,11,2,6,6,8,7,10,6,7,6,9,9,0,6,0,7,2,5,8,9,9,2,4,9,0,2,6,10,9,8,1,8,1,12,8,8,7,0,4,11,5,8,6,1,9,10,6,9,9,7,5,12,8,11,6,3,4,6,5,3,6,13,4,13,2,7,5,12,13,13,7,5,7,8,6,11,9,0,8,9,7,5,11,12,0,2,9,3,7,14,5,8,4,12,14,8,13,9,5,0,5,3,9,1,0,1,1,14,8,13,11,8,9,0,5,6,12,0,7,11,7,9,0,14,15,5,2,3,6,10,5,0,12,12,1,4,2,0,9,0,11,4,8,10,3,14,8,12,8,8,10,6,5,15,1,13,9,1,11,12,9,5,3,4,12,2,15,17,7,15,1,1,8,4,7,0,7,11,17,4,16,12,3,15,15,8,5,1,2,14,9,4,15,11,5,13,10,14,15,6,6,3,7,15,1,8,9,3,0,12,9,6,6,7,18,9,12,6,18,15,13,9,13,12,12,17,1,8,14,12,6,11,19,6,9,4,7,10,17,13,5,19,4,7,3,9,17,12,2,5,14,4,7
580,8,1,8,6,4,8,2,8,9,9,2,2,4,8,2,2,2,3,7,7,4,7,4,4,0,7,3,9,9,8,8,2,2,7,6,9,9,2,0,2,7,7,3,7,9,5,8,1,8,4,3,3,6,10,8,10,7,4,0,0,9,6,10,1,3,6,8,6,4,10,9,3,0,5,4,1,0,5,7,3,3,5,0,2,5,6,8,4,1,9,1,8,5,7,10,11,3,8,6,1,9,9,7,6,10,1,9,3,6,11,7,5,0,10,7,10,1,9,12,8,12,0,9,0,0,4,3,1,1,12,11,6,10,13,7,7,3,10,0,10,7,9,10,10,8,10,8,11,2,5,14,13,2,0,4,10,0,9,4,13,5,9,3,10,10,1,9,9,1,2,5,4,10,9,11,10,3,2,14,7,14,1,1,13,14,10,0,2,15,5,0,5,4,12,0,7,15,3,9,8,12,12,13,2,3,4,7,11,12,2,0,4,4,2,0,9,0,11,4,8,11,4,14,5,12,8,4,10,6,5,2,7,13,9,1,6,8,8,11,3,4,12,2,15,17,1,2,1,1,8,10,6,0,8,16,4,4,0,9,17,1,10,0,15,8,9,3,2,14,3,11,5,13,10,14,15,6,6,3,7,15,4,7,13,18,0,12,7,0,4,16,5,9,13,5,0,7,14,2,1,12,12,17,1,8,14,12,6,11,19,6,9,4,7,10,17,13,5,19,4,0,3,8,12,3,13,12,7,10,10
581,8,1,8,6,4,8,2,8,9,9,6,9,7,6,0,3,5,8,0,3,6,1,5,6,6,9,5,1,3,1,9,5,5,2,5,1,0,6,7,7,7,7,3,7,9,5,8,1,8,4,4,9,9,0,2,1,10,3,8,10,6,0,5,9,11,10,0,2,0,9,11,5,2,1,11,10,5,11,2,6,6,1,7,10,6,0,6,9,11,0,6,0,7,2,5,8,9,9,2,4,9,0,2,6,10,9,8,1,8,1,11,11,9,7,0,11,6,5,8,1,1,9,10,6,9,9,7,5,12,8,11,6,3,4,6,5,3,6,13,4,6,7,3,11,7,8,2,9,0,10,8,6,11,9,0,8,9,7,5,11,12,0,2,9,3,7,14,5,8,4,5,4,0,9,0,10,3,11,14,7,1,0,1,1,12,8,13,11,13,9,4,11,6,12,9,7,10,13,9,11,7,12,13,8,5,4,9,13,1,14,12,1,10,0,11,5,10,2,9,8,9,15,15,4,13,13,3,16,6,14,2,5,13,14,16,6,8,8,11,3,4,12,10,15,0,12,13,1,11,14,16,16,13,9,0,8,7,13,16,11,1,10,0,15,8,9,3,2,1,3,11,12,14,9,14,15,18,14,7,16,18,15,6,8,9,17,12,5,3,14,16,5,14,13,16,4,7,14,2,1,12,12,19,1,8,14,12,6,11,19,6,9,4,7,5,17,13,5,16,14,11,12,8,2,6,13,5,8,5,18
582,6,6,8,9,0,3,9,4,6,7,6,5,7,6,0,3,5,8,0,3,4,7,4,4,0,7,3,9,9,8,9,5,5,2,5,1,0,6,7,7,7,7,3,7,9,5,8,1,8,4,3,3,6,10,8,10,7,4,0,0,6,0,5,9,11,10,0,2,0,9,11,5,2,1,11,10,5,11,2,6,3,5,0,2,5,6,8,4,1,9,6,0,7,2,5,8,9,9,2,4,9,0,2,6,10,9,8,1,8,1,7,5,0,10,7,10,1,9,12,8,1,9,10,6,9,9,7,5,12,8,11,6,3,4,6,5,3,6,13,4,7,9,10,10,8,10,8,11,2,5,8,6,11,9,0,8,9,7,5,11,12,0,2,9,3,7,14,5,8,4,3,6,10,4,11,3,8,2,12,10,0,13,14,12,0,11,7,8,8,12,12,0,13,9,14,9,11,7,10,4,10,1,3,6,0,14,7,2,12,4,11,7,13,16,10,1,15,12,14,0,13,3,2,8,1,3,8,15,12,3,16,0,0,1,12,8,14,15,12,14,7,5,7,8,7,7,15,5,17,10,4,7,9,7,11,16,12,16,12,3,16,0,15,6,16,17,17,8,13,12,15,14,10,11,16,8,11,4,5,11,5,1,8,9,3,7,6,9,6,6,12,11,17,15,8,15,17,1,16,15,8,9,9,11,11,11,7,13,7,6,18,11,18,10,1,7,12,19,0,12,12,9,14,11,2,0,15,11,15,0
583,3,8,6,7,8,2,6,7,8,6,9,7,5,0,8,7,6,6,8,4,2,8,0,9,5,6,8,8,2,2,5,4,0,1,3,4,2,9,5,1,0,2,8,9,10,2,9,9,5,9,2,2,4,2,3,0,0,8,4,2,1,4,2,11,0,2,11,6,2,5,7,7,9,8,3,8,11,10,3,11,2,10,5,7,7,5,5,6,0,4,7,10,3,8,1,1,1,1,8,5,0,3,0,7,9,2,10,6,12,2,1,1,1,11,2,8,5,1,1,10,9,13,5,4,13,5,12,10,2,9,9,4,9,7,2,4,2,9,2,6,0,3,5,13,5,0,12,10,3,2,5,12,7,4,10,9,4,10,7,14,14,8,7,12,14,10,0,2,12,11,1,1,2,14,3,2,4,3,2,12,15,14,4,9,13,5,10,6,2,7,9,10,5,13,6,15,6,9,15,9,12,8,12,15,2,13,2,1,2,2,3,9,14,12,12,10,1,16,13,1,14,14,0,6,0,10,15,13,3,7,3,12,2,15,9,12,5,4,9,15,9,2,3,2,13,4,10,6,8,9,13,4,16,12,10,15,17,9,15,8,13,6,11,13,3,6,13,10,2,16,4,18,7,14,6,12,15,2,13,15,1,5,14,12,0,1,17,16,17,13,10,7,16,8,17,9,1,4,6,0,10,13,0,15,13,6,13,15,10,10,16,14,13,2,4,2,16,7,10,8,3,2,13,19,0,4,11,10,3,8
584,0,7,0,5,5,1,7,1,3,3,1,3,0,2,7,1,0,7,1,0,4,7,4,4,0,7,3,9,9,8,3,6,4,4,2,6,3,4,3,8,10,4,9,10,8,3,6,3,4,3,10,5,3,3,4,4,3,2,2,4,5,3,0,5,2,0,2,4,5,0,5,0,4,2,2,2,2,2,11,9,0,5,2,5,10,6,0,5,1,7,3,2,2,11,8,5,11,7,7,0,11,2,12,2,2,7,2,2,2,6,2,9,6,6,4,2,8,7,5,3,11,10,3,12,3,0,2,3,4,5,7,10,2,5,3,0,13,1,9,2,2,6,4,7,2,2,11,2,12,1,3,9,10,10,6,3,3,11,2,9,10,4,4,5,7,5,2,4,2,9,9,10,5,6,10,11,2,8,4,5,9,15,10,5,3,13,2,4,4,0,7,8,11,8,15,2,5,0,1,7,5,14,2,3,15,15,13,3,13,10,7,5,7,5,5,12,3,4,12,12,3,2,3,1,3,1,2,8,2,10,14,9,16,13,4,3,11,11,4,9,8,10,0,5,3,14,3,14,5,0,3,2,4,11,12,1,11,7,8,13,10,16,5,0,6,16,7,14,5,0,2,8,12,2,3,11,5,7,11,1,9,3,15,3,2,16,7,0,14,0,0,8,13,9,11,7,9,11,18,17,5,16,15,16,12,17,9,17,4,0,3,5,5,9,9,0,2,4,8,10,4,18,1,0,15,16,19,1,16,12
585,6,6,8,9,0,3,9,4,6,7,6,5,7,6,0,3,5,8,0,3,1,1,5,6,6,9,5,5,0,9,9,5,5,2,5,1,0,6,7,7,7,7,3,7,9,5,8,1,8,4,4,9,9,0,2,1,10,3,8,10,6,0,5,9,11,10,0,2,0,9,11,5,2,1,11,10,5,11,2,6,6,8,7,10,6,7,6,9,9,0,6,0,7,2,5,8,9,9,2,4,9,0,2,6,10,9,8,1,8,1,11,11,9,7,0,11,6,5,8,1,1,9,10,6,9,9,7,5,12,8,11,6,3,4,6,5,3,6,13,4,6,7,7,11,7,8,2,9,0,10,8,6,11,9,0,8,9,7,5,11,12,0,2,9,3,7,14,5,8,4,5,4,8,9,0,10,3,11,14,7,0,13,14,12,0,11,7,8,8,12,12,0,13,9,14,9,11,7,10,4,7,12,13,6,0,4,7,2,12,4,11,7,13,16,10,1,15,12,14,0,13,3,2,8,1,3,8,15,12,3,2,5,0,14,16,6,8,8,11,3,7,5,7,8,7,7,15,5,17,10,4,7,9,7,11,16,12,16,12,3,1,10,0,15,8,9,3,2,1,3,15,14,10,11,16,8,11,4,5,11,5,1,8,9,3,7,6,9,6,6,16,5,17,13,16,4,7,14,2,1,8,9,9,11,11,11,7,13,7,6,18,11,18,10,1,7,12,19,0,12,12,9,9,11,2,0,5,11,15,18
586,2,2,2,3,2,4,0,2,2,4,2,2,4,8,2,2,2,3,7,7,1,2,6,0,1,1,2,5,0,9,2,4,8,10,7,4,2,3,5,1,0,3,6,4,5,10,7,2,2,1,6,4,8,9,9,6,1,9,3,3,9,4,2,1,3,2,11,6,2,10,9,3,0,5,4,1,0,5,7,3,6,8,7,10,6,7,6,9,9,0,7,10,3,8,1,1,1,1,8,5,6,5,8,5,3,11,7,0,3,8,1,11,1,11,8,8,5,5,8,11,10,13,0,11,0,5,3,10,2,12,0,1,10,13,7,7,9,10,0,10,10,7,7,11,1,8,2,1,0,10,1,13,2,12,1,2,0,13,1,4,5,9,3,10,10,1,9,9,1,2,1,4,8,14,0,13,7,14,14,7,14,1,1,13,14,10,0,2,15,5,0,5,4,12,0,7,15,3,9,8,12,12,13,2,3,13,2,11,2,2,0,4,4,2,4,9,6,15,4,16,11,4,14,5,12,8,4,10,6,5,2,7,13,11,1,13,8,8,11,3,3,4,2,14,17,1,2,8,1,8,10,6,0,8,16,4,1,0,9,17,1,17,4,1,1,7,3,1,16,7,11,11,13,10,14,15,6,6,3,7,15,4,7,13,18,0,12,7,0,4,4,1,9,13,5,0,7,17,9,7,12,12,17,1,8,14,2,6,6,19,6,9,4,7,10,17,13,5,19,4,0,3,11,12,3,12,12,7,10,10
587,0,7,0,5,5,1,7,1,3,3,1,3,0,2,7,1,0,7,1,0,1,1,5,6,6,9,5,5,0,9,3,6,4,4,2,6,3,4,3,8,2,4,9,10,8,3,6,3,4,3,4,9,9,0,2,1,10,3,8,10,5,3,0,5,2,0,2,4,5,0,5,0,4,2,2,2,2,2,11,9,6,8,7,10,6,7,6,9,9,0,12,7,10,4,12,7,6,7,9,10,8,10,6,9,4,7,12,8,1,7,11,11,9,7,0,11,6,5,8,1,0,6,11,5,12,12,11,8,9,10,3,8,2,11,3,0,8,1,9,12,6,7,7,11,7,8,2,9,0,10,10,4,5,2,8,6,10,2,12,6,3,7,11,11,1,4,12,14,10,1,5,4,0,9,0,10,3,11,14,7,4,5,0,3,11,2,6,14,9,11,15,2,3,3,11,13,1,5,14,14,7,13,13,8,5,4,9,13,1,14,2,16,1,11,14,6,14,9,0,3,12,10,10,15,7,9,11,5,8,6,7,5,16,14,16,6,8,10,11,3,0,3,12,9,9,3,11,0,15,16,14,13,7,1,6,5,5,2,7,14,1,10,0,15,8,9,3,2,1,3,9,4,4,18,15,16,8,13,4,8,7,17,0,18,6,8,8,15,15,10,16,5,15,0,16,4,7,14,2,1,15,5,5,3,4,13,11,18,15,12,12,2,10,3,14,12,10,12,6,6,11,12,8,2,6,13,0,8,5,18
588,8,1,8,6,4,8,2,8,9,9,5,9,5,0,8,7,6,6,8,1,1,2,6,0,1,1,2,5,0,9,8,2,2,7,6,9,9,2,0,2,5,2,8,9,10,2,9,9,5,9,6,9,8,0,9,6,10,9,3,3,9,4,2,1,3,2,11,6,4,10,7,7,9,8,3,8,11,10,3,11,6,8,7,10,6,7,6,9,9,0,7,10,3,8,1,1,3,1,6,1,0,3,0,7,9,2,10,6,12,2,7,5,0,10,7,10,1,9,12,8,10,13,0,11,13,4,12,1,1,7,9,4,9,7,2,4,2,9,2,6,10,7,7,11,1,8,2,1,0,10,1,12,7,12,1,9,4,10,1,14,14,8,7,12,14,10,0,2,12,11,1,4,8,14,3,13,7,14,14,7,15,14,4,9,14,5,10,6,2,7,9,10,5,13,6,15,6,9,15,9,12,0,12,2,3,13,2,11,2,2,3,9,14,12,12,10,1,11,13,1,14,14,0,6,0,10,15,13,3,7,3,7,2,15,9,13,2,8,2,2,4,12,2,15,17,1,2,1,1,8,13,4,16,12,10,15,17,9,15,8,8,17,4,1,1,7,10,1,16,7,11,16,13,10,17,3,16,6,9,3,1,10,11,5,12,1,17,17,10,11,4,1,9,1,5,17,14,17,9,7,12,12,17,1,9,14,16,6,9,19,2,0,13,19,2,2,16,7,13,13,10,14,11,5,9,12,12,19,19,2
